SubID,Include,Exclusion_reason,AgeYear,AgeMonths,Child_GenderClean,ConditionOrder,Counting,Demographics,Task,TrialLabel,Comparison,Side,TrialType,Response.keys,Response.corr
BABSYN452,1,NA,6,76,girl,MO,yes,yes,BeforeAfterYesNo,Target6Versus7,After,same,Consecutive,n,0
BABSYN452,1,NA,6,76,girl,MO,yes,yes,BeforeAfterYesNo,Target4Versus6,After,same,NonConsecutive,n,0
BABSYN452,1,NA,6,76,girl,MO,yes,yes,BeforeAfterYesNo,Target5Versus3,Before,same,NonConsecutive,n,0
BABSYN453,1,NA,6,81,boy,OM,yes,yes,BeforeAfterYesNo,Target5Versus6,After,same,Consecutive,y,1
BABSYN453,1,NA,6,81,boy,OM,yes,yes,BeforeAfterYesNo,Target4Versus5,After,same,Consecutive,y,1
BABSYN453,1,NA,6,81,boy,OM,yes,yes,BeforeAfterYesNo,Target4Versus6,After,same,NonConsecutive,n,0
BABSYN453,1,NA,6,81,boy,OM,yes,yes,BeforeAfterYesNo,Target6Versus5,After,opposite,Consecutive,n,1
BABSYN453,1,NA,6,81,boy,OM,yes,yes,BeforeAfterYesNo,Target5Versus4,Before,same,Consecutive,y,1
BABSYN453,1,NA,6,81,boy,OM,yes,yes,BeforeAfterYesNo,Target5Versus7,After,same,NonConsecutive,n,0
BABSYN453,1,NA,6,81,boy,OM,yes,yes,BeforeAfterYesNo,Target6Versus8,After,same,NonConsecutive,n,0
BABSYN453,1,NA,6,81,boy,OM,yes,yes,BeforeAfterYesNo,Target6Versus7,After,same,Consecutive,y,1
BABSYN453,1,NA,6,81,boy,OM,yes,yes,BeforeAfterYesNo,Target4Versus2,After,opposite,NonConsecutive,n,1
BABSYN453,1,NA,6,81,boy,OM,yes,yes,BeforeAfterYesNo,Target5Versus4,After,opposite,Consecutive,n,1
BABSYN453,1,NA,6,81,boy,OM,yes,yes,BeforeAfterYesNo,Target4Versus5,Before,opposite,Consecutive,n,1
BABSYN453,1,NA,6,81,boy,OM,yes,yes,BeforeAfterYesNo,Target5Versus3,Before,same,NonConsecutive,n,0
BABSYN453,1,NA,6,81,boy,OM,yes,yes,BeforeAfterYesNo,Target4Versus3,Before,same,Consecutive,y,1
BABSYN453,1,NA,6,81,boy,OM,yes,yes,BeforeAfterYesNo,Target6Versus4,Before,same,NonConsecutive,n,0
BABSYN453,1,NA,6,81,boy,OM,yes,yes,BeforeAfterYesNo,Target6Versus5,Before,same,Consecutive,y,1
BABSYN453,1,NA,6,81,boy,OM,yes,yes,BeforeAfterYesNo,Target6Versus8,Before,opposite,NonConsecutive,n,1
BABSYN453,1,NA,6,81,boy,OM,yes,yes,BeforeAfterYesNo,Target5Versus7,Before,opposite,NonConsecutive,n,1
BABSYN453,1,NA,6,81,boy,OM,yes,yes,BeforeAfterYesNo,Target4Versus2,Before,same,NonConsecutive,n,0
BABSYN453,1,NA,6,81,boy,OM,yes,yes,BiggerSmallerYesNo,Target6Versus8,Smaller,opposite,NonConsecutive,n,1
BABSYN453,1,NA,6,81,boy,OM,yes,yes,BiggerSmallerYesNo,Target6Versus8,Bigger,same,NonConsecutive,y,1
BABSYN453,1,NA,6,81,boy,OM,yes,yes,BiggerSmallerYesNo,Target5Versus7,Bigger,same,NonConsecutive,y,1
BABSYN453,1,NA,6,81,boy,OM,yes,yes,BiggerSmallerYesNo,Target6Versus4,Smaller,same,NonConsecutive,n,0
BABSYN453,1,NA,6,81,boy,OM,yes,yes,BiggerSmallerYesNo,Target6Versus7,Bigger,same,Consecutive,y,1
BABSYN453,1,NA,6,81,boy,OM,yes,yes,BiggerSmallerYesNo,Target4Versus6,Bigger,same,NonConsecutive,y,1
BABSYN453,1,NA,6,81,boy,OM,yes,yes,BiggerSmallerYesNo,Target4Versus3,Smaller,same,Consecutive,y,1
BABSYN453,1,NA,6,81,boy,OM,yes,yes,BiggerSmallerYesNo,Target4Versus5,Smaller,opposite,Consecutive,n,1
BABSYN453,1,NA,6,81,boy,OM,yes,yes,BiggerSmallerYesNo,Target5Versus6,Bigger,same,Consecutive,y,1
BABSYN453,1,NA,6,81,boy,OM,yes,yes,BiggerSmallerYesNo,Target6Versus5,Smaller,same,Consecutive,y,1
BABSYN453,1,NA,6,81,boy,OM,yes,yes,BiggerSmallerYesNo,Target4Versus2,Smaller,same,NonConsecutive,y,1
BABSYN453,1,NA,6,81,boy,OM,yes,yes,BiggerSmallerYesNo,Target5Versus4,Smaller,same,Consecutive,y,1
BABSYN453,1,NA,6,81,boy,OM,yes,yes,BiggerSmallerYesNo,Target5Versus3,Smaller,same,NonConsecutive,y,1
BABSYN453,1,NA,6,81,boy,OM,yes,yes,BiggerSmallerYesNo,Target4Versus2,Bigger,opposite,NonConsecutive,n,1
BABSYN453,1,NA,6,81,boy,OM,yes,yes,BiggerSmallerYesNo,Target5Versus4,Bigger,opposite,Consecutive,n,1
BABSYN453,1,NA,6,81,boy,OM,yes,yes,BiggerSmallerYesNo,Target6Versus5,Bigger,opposite,Consecutive,n,1
BABSYN453,1,NA,6,81,boy,OM,yes,yes,BiggerSmallerYesNo,Target5Versus7,Smaller,opposite,NonConsecutive,n,1
BABSYN453,1,NA,6,81,boy,OM,yes,yes,BiggerSmallerYesNo,Target4Versus5,Bigger,same,Consecutive,y,1
BABSYN454,1,NA,5,64,boy,OM,yes,yes,BeforeAfterYesNo,Target4Versus6,After,same,NonConsecutive,y,1
BABSYN454,1,NA,5,64,boy,OM,yes,yes,BeforeAfterYesNo,Target6Versus5,Before,same,Consecutive,y,1
BABSYN454,1,NA,5,64,boy,OM,yes,yes,BeforeAfterYesNo,Target5Versus4,Before,same,Consecutive,n,0
BABSYN454,1,NA,5,64,boy,OM,yes,yes,BeforeAfterYesNo,Target4Versus2,After,opposite,NonConsecutive,n,1
BABSYN454,1,NA,5,64,boy,OM,yes,yes,BeforeAfterYesNo,Target5Versus4,After,opposite,Consecutive,n,1
BABSYN454,1,NA,5,64,boy,OM,yes,yes,BeforeAfterYesNo,Target6Versus5,After,opposite,Consecutive,n,1
BABSYN454,1,NA,5,64,boy,OM,yes,yes,BeforeAfterYesNo,Target5Versus7,Before,opposite,NonConsecutive,n,1
BABSYN454,1,NA,5,64,boy,OM,yes,yes,BeforeAfterYesNo,Target5Versus6,After,same,Consecutive,y,1
BABSYN454,1,NA,5,64,boy,OM,yes,yes,BeforeAfterYesNo,Target6Versus4,Before,same,NonConsecutive,y,1
BABSYN454,1,NA,5,64,boy,OM,yes,yes,BeforeAfterYesNo,Target6Versus8,Before,opposite,NonConsecutive,y,0
BABSYN454,1,NA,5,64,boy,OM,yes,yes,BeforeAfterYesNo,Target4Versus2,Before,same,NonConsecutive,n,0
BABSYN454,1,NA,5,64,boy,OM,yes,yes,BeforeAfterYesNo,Target6Versus7,After,same,Consecutive,y,1
BABSYN454,1,NA,5,64,boy,OM,yes,yes,BeforeAfterYesNo,Target5Versus3,Before,same,NonConsecutive,y,1
BABSYN454,1,NA,5,64,boy,OM,yes,yes,BeforeAfterYesNo,Target4Versus5,After,same,Consecutive,y,1
BABSYN454,1,NA,5,64,boy,OM,yes,yes,BeforeAfterYesNo,Target5Versus7,After,same,NonConsecutive,y,1
BABSYN454,1,NA,5,64,boy,OM,yes,yes,BeforeAfterYesNo,Target4Versus3,Before,same,Consecutive,y,1
BABSYN454,1,NA,5,64,boy,OM,yes,yes,BeforeAfterYesNo,Target6Versus8,After,same,NonConsecutive,n,0
BABSYN454,1,NA,5,64,boy,OM,yes,yes,BeforeAfterYesNo,Target4Versus5,Before,opposite,Consecutive,n,1
BABSYN454,1,NA,5,64,boy,OM,yes,yes,BiggerSmallerYesNo,Target4Versus2,Bigger,opposite,NonConsecutive,n,1
BABSYN454,1,NA,5,64,boy,OM,yes,yes,BiggerSmallerYesNo,Target5Versus7,Bigger,same,NonConsecutive,y,1
BABSYN454,1,NA,5,64,boy,OM,yes,yes,BiggerSmallerYesNo,Target6Versus8,Smaller,opposite,NonConsecutive,n,1
BABSYN454,1,NA,5,64,boy,OM,yes,yes,BiggerSmallerYesNo,Target6Versus8,Bigger,same,NonConsecutive,y,1
BABSYN454,1,NA,5,64,boy,OM,yes,yes,BiggerSmallerYesNo,Target4Versus5,Bigger,same,Consecutive,y,1
BABSYN454,1,NA,5,64,boy,OM,yes,yes,BiggerSmallerYesNo,Target5Versus3,Smaller,same,NonConsecutive,y,1
BABSYN454,1,NA,5,64,boy,OM,yes,yes,BiggerSmallerYesNo,Target4Versus3,Smaller,same,Consecutive,y,1
BABSYN454,1,NA,5,64,boy,OM,yes,yes,BiggerSmallerYesNo,Target5Versus4,Smaller,same,Consecutive,y,1
BABSYN454,1,NA,5,64,boy,OM,yes,yes,BiggerSmallerYesNo,Target6Versus7,Bigger,same,Consecutive,y,1
BABSYN454,1,NA,5,64,boy,OM,yes,yes,BiggerSmallerYesNo,Target4Versus2,Smaller,same,NonConsecutive,y,1
BABSYN454,1,NA,5,64,boy,OM,yes,yes,BiggerSmallerYesNo,Target6Versus4,Smaller,same,NonConsecutive,y,1
BABSYN454,1,NA,5,64,boy,OM,yes,yes,BiggerSmallerYesNo,Target5Versus4,Bigger,opposite,Consecutive,n,1
BABSYN454,1,NA,5,64,boy,OM,yes,yes,BiggerSmallerYesNo,Target6Versus5,Smaller,same,Consecutive,n,0
BABSYN454,1,NA,5,64,boy,OM,yes,yes,BiggerSmallerYesNo,Target6Versus5,Bigger,opposite,Consecutive,n,1
BABSYN454,1,NA,5,64,boy,OM,yes,yes,BiggerSmallerYesNo,Target4Versus6,Bigger,same,NonConsecutive,y,1
BABSYN454,1,NA,5,64,boy,OM,yes,yes,BiggerSmallerYesNo,Target5Versus7,Smaller,opposite,NonConsecutive,n,1
BABSYN454,1,NA,5,64,boy,OM,yes,yes,BiggerSmallerYesNo,Target4Versus5,Smaller,opposite,Consecutive,n,1
BABSYN454,1,NA,5,64,boy,OM,yes,yes,BiggerSmallerYesNo,Target5Versus6,Bigger,same,Consecutive,y,1
BABSYN455,1,NA,4,58,boy,OM,yes,yes,BeforeAfterYesNo,Target4Versus6,After,same,NonConsecutive,n,0
BABSYN455,1,NA,4,58,boy,OM,yes,yes,BeforeAfterYesNo,Target6Versus8,After,same,NonConsecutive,n,0
BABSYN455,1,NA,4,58,boy,OM,yes,yes,BeforeAfterYesNo,Target4Versus5,Before,opposite,Consecutive,y,0
BABSYN455,1,NA,4,58,boy,OM,yes,yes,BeforeAfterYesNo,Target5Versus7,After,same,NonConsecutive,n,0
BABSYN455,1,NA,4,58,boy,OM,yes,yes,BeforeAfterYesNo,Target4Versus2,Before,same,NonConsecutive,n,0
BABSYN455,1,NA,4,58,boy,OM,yes,yes,BeforeAfterYesNo,Target5Versus7,Before,opposite,NonConsecutive,n,1
BABSYN455,1,NA,4,58,boy,OM,yes,yes,BeforeAfterYesNo,Target4Versus5,After,same,Consecutive,y,1
BABSYN455,1,NA,4,58,boy,OM,yes,yes,BeforeAfterYesNo,Target6Versus5,After,opposite,Consecutive,n,1
BABSYN455,1,NA,4,58,boy,OM,yes,yes,BeforeAfterYesNo,Target6Versus8,Before,opposite,NonConsecutive,n,1
BABSYN455,1,NA,4,58,boy,OM,yes,yes,BeforeAfterYesNo,Target5Versus4,After,opposite,Consecutive,n,1
BABSYN455,1,NA,4,58,boy,OM,yes,yes,BeforeAfterYesNo,Target5Versus4,Before,same,Consecutive,y,1
BABSYN455,1,NA,4,58,boy,OM,yes,yes,BeforeAfterYesNo,Target4Versus2,After,opposite,NonConsecutive,n,1
BABSYN455,1,NA,4,58,boy,OM,yes,yes,BeforeAfterYesNo,Target4Versus3,Before,same,Consecutive,y,1
BABSYN455,1,NA,4,58,boy,OM,yes,yes,BeforeAfterYesNo,Target5Versus3,Before,same,NonConsecutive,n,0
BABSYN455,1,NA,4,58,boy,OM,yes,yes,BeforeAfterYesNo,Target5Versus6,After,same,Consecutive,y,1
BABSYN455,1,NA,4,58,boy,OM,yes,yes,BeforeAfterYesNo,Target6Versus7,After,same,Consecutive,n,0
BABSYN455,1,NA,4,58,boy,OM,yes,yes,BeforeAfterYesNo,Target6Versus4,Before,same,NonConsecutive,n,0
BABSYN455,1,NA,4,58,boy,OM,yes,yes,BeforeAfterYesNo,Target6Versus5,Before,same,Consecutive,y,1
BABSYN455,1,NA,4,58,boy,OM,yes,yes,BiggerSmallerYesNo,Target4Versus5,Bigger,same,Consecutive,y,1
BABSYN455,1,NA,4,58,boy,OM,yes,yes,BiggerSmallerYesNo,Target4Versus3,Smaller,same,Consecutive,y,1
BABSYN455,1,NA,4,58,boy,OM,yes,yes,BiggerSmallerYesNo,Target6Versus5,Bigger,opposite,Consecutive,n,1
BABSYN455,1,NA,4,58,boy,OM,yes,yes,BiggerSmallerYesNo,Target6Versus5,Smaller,same,Consecutive,y,1
BABSYN455,1,NA,4,58,boy,OM,yes,yes,BiggerSmallerYesNo,Target6Versus8,Bigger,same,NonConsecutive,y,1
BABSYN455,1,NA,4,58,boy,OM,yes,yes,BiggerSmallerYesNo,Target5Versus7,Bigger,same,NonConsecutive,n,0
BABSYN455,1,NA,4,58,boy,OM,yes,yes,BiggerSmallerYesNo,Target6Versus8,Smaller,opposite,NonConsecutive,n,1
BABSYN455,1,NA,4,58,boy,OM,yes,yes,BiggerSmallerYesNo,Target4Versus5,Smaller,opposite,Consecutive,n,1
BABSYN455,1,NA,4,58,boy,OM,yes,yes,BiggerSmallerYesNo,Target4Versus2,Smaller,same,NonConsecutive,y,1
BABSYN455,1,NA,4,58,boy,OM,yes,yes,BiggerSmallerYesNo,Target5Versus7,Smaller,opposite,NonConsecutive,n,1
BABSYN455,1,NA,4,58,boy,OM,yes,yes,BiggerSmallerYesNo,Target5Versus4,Bigger,opposite,Consecutive,n,1
BABSYN455,1,NA,4,58,boy,OM,yes,yes,BiggerSmallerYesNo,Target4Versus2,Bigger,opposite,NonConsecutive,n,1
BABSYN455,1,NA,4,58,boy,OM,yes,yes,BiggerSmallerYesNo,Target4Versus6,Bigger,same,NonConsecutive,y,1
BABSYN455,1,NA,4,58,boy,OM,yes,yes,BiggerSmallerYesNo,Target5Versus4,Smaller,same,Consecutive,y,1
BABSYN455,1,NA,4,58,boy,OM,yes,yes,BiggerSmallerYesNo,Target6Versus7,Bigger,same,Consecutive,y,1
BABSYN455,1,NA,4,58,boy,OM,yes,yes,BiggerSmallerYesNo,Target5Versus6,Bigger,same,Consecutive,y,1
BABSYN455,1,NA,4,58,boy,OM,yes,yes,BiggerSmallerYesNo,Target5Versus3,Smaller,same,NonConsecutive,y,1
BABSYN455,1,NA,4,58,boy,OM,yes,yes,BiggerSmallerYesNo,Target6Versus4,Smaller,same,NonConsecutive,y,1
BABSYN456,1,NA,6,73,girl,OM,yes,yes,BeforeAfterYesNo,Target6Versus7,After,same,Consecutive,y,1
BABSYN456,1,NA,6,73,girl,OM,yes,yes,BeforeAfterYesNo,Target4Versus5,Before,opposite,Consecutive,y,0
BABSYN456,1,NA,6,73,girl,OM,yes,yes,BeforeAfterYesNo,Target5Versus7,After,same,NonConsecutive,n,0
BABSYN456,1,NA,6,73,girl,OM,yes,yes,BeforeAfterYesNo,Target4Versus2,After,opposite,NonConsecutive,n,1
BABSYN456,1,NA,6,73,girl,OM,yes,yes,BeforeAfterYesNo,Target5Versus4,Before,same,Consecutive,n,0
BABSYN456,1,NA,6,73,girl,OM,yes,yes,BeforeAfterYesNo,Target5Versus6,After,same,Consecutive,y,1
BABSYN456,1,NA,6,73,girl,OM,yes,yes,BeforeAfterYesNo,Target6Versus5,Before,same,Consecutive,n,0
BABSYN456,1,NA,6,73,girl,OM,yes,yes,BeforeAfterYesNo,Target6Versus4,Before,same,NonConsecutive,n,0
BABSYN456,1,NA,6,73,girl,OM,yes,yes,BeforeAfterYesNo,Target4Versus2,Before,same,NonConsecutive,n,0
BABSYN456,1,NA,6,73,girl,OM,yes,yes,BeforeAfterYesNo,Target4Versus6,After,same,NonConsecutive,n,0
BABSYN456,1,NA,6,73,girl,OM,yes,yes,BeforeAfterYesNo,Target5Versus7,Before,opposite,NonConsecutive,n,1
BABSYN456,1,NA,6,73,girl,OM,yes,yes,BeforeAfterYesNo,Target5Versus3,Before,same,NonConsecutive,n,0
BABSYN456,1,NA,6,73,girl,OM,yes,yes,BeforeAfterYesNo,Target6Versus5,After,opposite,Consecutive,y,0
BABSYN456,1,NA,6,73,girl,OM,yes,yes,BeforeAfterYesNo,Target4Versus3,Before,same,Consecutive,n,0
BABSYN456,1,NA,6,73,girl,OM,yes,yes,BeforeAfterYesNo,Target5Versus4,After,opposite,Consecutive,n,1
BABSYN456,1,NA,6,73,girl,OM,yes,yes,BeforeAfterYesNo,Target6Versus8,Before,opposite,NonConsecutive,n,1
BABSYN456,1,NA,6,73,girl,OM,yes,yes,BeforeAfterYesNo,Target4Versus5,After,same,Consecutive,y,1
BABSYN456,1,NA,6,73,girl,OM,yes,yes,BeforeAfterYesNo,Target6Versus8,After,same,NonConsecutive,n,0
BABSYN456,1,NA,6,73,girl,OM,yes,yes,BiggerSmallerYesNo,Target5Versus6,Bigger,same,Consecutive,y,1
BABSYN456,1,NA,6,73,girl,OM,yes,yes,BiggerSmallerYesNo,Target6Versus5,Bigger,opposite,Consecutive,n,1
BABSYN456,1,NA,6,73,girl,OM,yes,yes,BiggerSmallerYesNo,Target4Versus6,Bigger,same,NonConsecutive,y,1
BABSYN456,1,NA,6,73,girl,OM,yes,yes,BiggerSmallerYesNo,Target6Versus8,Bigger,same,NonConsecutive,y,1
BABSYN456,1,NA,6,73,girl,OM,yes,yes,BiggerSmallerYesNo,Target5Versus3,Smaller,same,NonConsecutive,y,1
BABSYN456,1,NA,6,73,girl,OM,yes,yes,BiggerSmallerYesNo,Target4Versus3,Smaller,same,Consecutive,y,1
BABSYN456,1,NA,6,73,girl,OM,yes,yes,BiggerSmallerYesNo,Target5Versus7,Bigger,same,NonConsecutive,y,1
BABSYN456,1,NA,6,73,girl,OM,yes,yes,BiggerSmallerYesNo,Target4Versus5,Smaller,opposite,Consecutive,n,1
BABSYN456,1,NA,6,73,girl,OM,yes,yes,BiggerSmallerYesNo,Target4Versus2,Bigger,opposite,NonConsecutive,n,1
BABSYN456,1,NA,6,73,girl,OM,yes,yes,BiggerSmallerYesNo,Target6Versus4,Smaller,same,NonConsecutive,y,1
BABSYN456,1,NA,6,73,girl,OM,yes,yes,BiggerSmallerYesNo,Target6Versus8,Smaller,opposite,NonConsecutive,n,1
BABSYN456,1,NA,6,73,girl,OM,yes,yes,BiggerSmallerYesNo,Target6Versus5,Smaller,same,Consecutive,y,1
BABSYN456,1,NA,6,73,girl,OM,yes,yes,BiggerSmallerYesNo,Target4Versus5,Bigger,same,Consecutive,y,1
BABSYN456,1,NA,6,73,girl,OM,yes,yes,BiggerSmallerYesNo,Target5Versus4,Smaller,same,Consecutive,y,1
BABSYN456,1,NA,6,73,girl,OM,yes,yes,BiggerSmallerYesNo,Target6Versus7,Bigger,same,Consecutive,y,1
BABSYN456,1,NA,6,73,girl,OM,yes,yes,BiggerSmallerYesNo,Target4Versus2,Smaller,same,NonConsecutive,y,1
BABSYN456,1,NA,6,73,girl,OM,yes,yes,BiggerSmallerYesNo,Target5Versus4,Bigger,opposite,Consecutive,n,1
BABSYN456,1,NA,6,73,girl,OM,yes,yes,BiggerSmallerYesNo,Target5Versus7,Smaller,opposite,NonConsecutive,n,1
BABSYN457,1,NA,5,67,girl,OM,yes,yes,BeforeAfterYesNo,Target4Versus5,Before,opposite,Consecutive,n,1
BABSYN457,1,NA,5,67,girl,OM,yes,yes,BeforeAfterYesNo,Target5Versus3,Before,same,NonConsecutive,n,0
BABSYN457,1,NA,5,67,girl,OM,yes,yes,BeforeAfterYesNo,Target5Versus4,Before,same,Consecutive,n,0
BABSYN457,1,NA,5,67,girl,OM,yes,yes,BeforeAfterYesNo,Target6Versus5,After,opposite,Consecutive,y,0
BABSYN457,1,NA,5,67,girl,OM,yes,yes,BeforeAfterYesNo,Target5Versus7,Before,opposite,NonConsecutive,n,1
BABSYN457,1,NA,5,67,girl,OM,yes,yes,BeforeAfterYesNo,Target6Versus4,Before,same,NonConsecutive,n,0
BABSYN457,1,NA,5,67,girl,OM,yes,yes,BeforeAfterYesNo,Target6Versus5,Before,same,Consecutive,y,1
BABSYN457,1,NA,5,67,girl,OM,yes,yes,BeforeAfterYesNo,Target5Versus7,After,same,NonConsecutive,n,0
BABSYN457,1,NA,5,67,girl,OM,yes,yes,BeforeAfterYesNo,Target4Versus3,Before,same,Consecutive,y,1
BABSYN457,1,NA,5,67,girl,OM,yes,yes,BeforeAfterYesNo,Target6Versus8,After,same,NonConsecutive,n,0
BABSYN457,1,NA,5,67,girl,OM,yes,yes,BeforeAfterYesNo,Target5Versus6,After,same,Consecutive,y,1
BABSYN457,1,NA,5,67,girl,OM,yes,yes,BeforeAfterYesNo,Target4Versus5,After,same,Consecutive,y,1
BABSYN457,1,NA,5,67,girl,OM,yes,yes,BeforeAfterYesNo,Target4Versus2,After,opposite,NonConsecutive,n,1
BABSYN457,1,NA,5,67,girl,OM,yes,yes,BeforeAfterYesNo,Target4Versus6,After,same,NonConsecutive,n,0
BABSYN457,1,NA,5,67,girl,OM,yes,yes,BeforeAfterYesNo,Target4Versus2,Before,same,NonConsecutive,n,0
BABSYN457,1,NA,5,67,girl,OM,yes,yes,BeforeAfterYesNo,Target5Versus4,After,opposite,Consecutive,n,1
BABSYN457,1,NA,5,67,girl,OM,yes,yes,BeforeAfterYesNo,Target6Versus7,After,same,Consecutive,n,0
BABSYN457,1,NA,5,67,girl,OM,yes,yes,BeforeAfterYesNo,Target6Versus8,Before,opposite,NonConsecutive,n,1
BABSYN457,1,NA,5,67,girl,OM,yes,yes,BiggerSmallerYesNo,Target6Versus4,Smaller,same,NonConsecutive,y,1
BABSYN457,1,NA,5,67,girl,OM,yes,yes,BiggerSmallerYesNo,Target5Versus3,Smaller,same,NonConsecutive,y,1
BABSYN457,1,NA,5,67,girl,OM,yes,yes,BiggerSmallerYesNo,Target5Versus4,Bigger,opposite,Consecutive,n,1
BABSYN457,1,NA,5,67,girl,OM,yes,yes,BiggerSmallerYesNo,Target6Versus8,Smaller,opposite,NonConsecutive,n,1
BABSYN457,1,NA,5,67,girl,OM,yes,yes,BiggerSmallerYesNo,Target6Versus5,Smaller,same,Consecutive,y,1
BABSYN457,1,NA,5,67,girl,OM,yes,yes,BiggerSmallerYesNo,Target4Versus6,Bigger,same,NonConsecutive,y,1
BABSYN457,1,NA,5,67,girl,OM,yes,yes,BiggerSmallerYesNo,Target4Versus3,Smaller,same,Consecutive,y,1
BABSYN457,1,NA,5,67,girl,OM,yes,yes,BiggerSmallerYesNo,Target6Versus7,Bigger,same,Consecutive,y,1
BABSYN457,1,NA,5,67,girl,OM,yes,yes,BiggerSmallerYesNo,Target4Versus5,Bigger,same,Consecutive,y,1
BABSYN457,1,NA,5,67,girl,OM,yes,yes,BiggerSmallerYesNo,Target5Versus4,Smaller,same,Consecutive,y,1
BABSYN457,1,NA,5,67,girl,OM,yes,yes,BiggerSmallerYesNo,Target4Versus2,Bigger,opposite,NonConsecutive,n,1
BABSYN457,1,NA,5,67,girl,OM,yes,yes,BiggerSmallerYesNo,Target6Versus5,Bigger,opposite,Consecutive,n,1
BABSYN457,1,NA,5,67,girl,OM,yes,yes,BiggerSmallerYesNo,Target4Versus2,Smaller,same,NonConsecutive,y,1
BABSYN457,1,NA,5,67,girl,OM,yes,yes,BiggerSmallerYesNo,Target5Versus7,Smaller,opposite,NonConsecutive,n,1
BABSYN457,1,NA,5,67,girl,OM,yes,yes,BiggerSmallerYesNo,Target4Versus5,Smaller,opposite,Consecutive,n,1
BABSYN457,1,NA,5,67,girl,OM,yes,yes,BiggerSmallerYesNo,Target5Versus6,Bigger,same,Consecutive,y,1
BABSYN457,1,NA,5,67,girl,OM,yes,yes,BiggerSmallerYesNo,Target6Versus8,Bigger,same,NonConsecutive,y,1
BABSYN457,1,NA,5,67,girl,OM,yes,yes,BiggerSmallerYesNo,Target5Versus7,Bigger,same,NonConsecutive,y,1
BABSYN458,1,NA,6,72,NA,MO,yes,yes,BiggerSmallerYesNo,Target6Versus5,Bigger,opposite,Consecutive,y,0
BABSYN458,1,NA,6,72,NA,MO,yes,yes,BiggerSmallerYesNo,Target4Versus2,Smaller,same,NonConsecutive,y,1
BABSYN458,1,NA,6,72,NA,MO,yes,yes,BiggerSmallerYesNo,Target6Versus7,Bigger,same,Consecutive,y,1
BABSYN458,1,NA,6,72,NA,MO,yes,yes,BiggerSmallerYesNo,Target4Versus2,Bigger,opposite,NonConsecutive,y,0
BABSYN458,1,NA,6,72,NA,MO,yes,yes,BiggerSmallerYesNo,Target4Versus5,Bigger,same,Consecutive,y,1
BABSYN458,1,NA,6,72,NA,MO,yes,yes,BiggerSmallerYesNo,Target4Versus5,Smaller,opposite,Consecutive,y,0
BABSYN458,1,NA,6,72,NA,MO,yes,yes,BiggerSmallerYesNo,Target5Versus4,Bigger,opposite,Consecutive,y,0
BABSYN458,1,NA,6,72,NA,MO,yes,yes,BiggerSmallerYesNo,Target6Versus4,Smaller,same,NonConsecutive,y,1
BABSYN458,1,NA,6,72,NA,MO,yes,yes,BiggerSmallerYesNo,Target6Versus8,Bigger,same,NonConsecutive,y,1
BABSYN458,1,NA,6,72,NA,MO,yes,yes,BiggerSmallerYesNo,Target6Versus8,Smaller,opposite,NonConsecutive,n,1
BABSYN458,1,NA,6,72,NA,MO,yes,yes,BiggerSmallerYesNo,Target5Versus3,Smaller,same,NonConsecutive,y,1
BABSYN458,1,NA,6,72,NA,MO,yes,yes,BiggerSmallerYesNo,Target5Versus4,Smaller,same,Consecutive,y,1
BABSYN458,1,NA,6,72,NA,MO,yes,yes,BiggerSmallerYesNo,Target5Versus6,Bigger,same,Consecutive,y,1
BABSYN458,1,NA,6,72,NA,MO,yes,yes,BiggerSmallerYesNo,Target6Versus5,Smaller,same,Consecutive,y,1
BABSYN458,1,NA,6,72,NA,MO,yes,yes,BiggerSmallerYesNo,Target4Versus6,Bigger,same,NonConsecutive,y,1
BABSYN458,1,NA,6,72,NA,MO,yes,yes,BiggerSmallerYesNo,Target5Versus7,Smaller,opposite,NonConsecutive,y,0
BABSYN458,1,NA,6,72,NA,MO,yes,yes,BiggerSmallerYesNo,Target4Versus3,Smaller,same,Consecutive,y,1
BABSYN458,1,NA,6,72,NA,MO,yes,yes,BiggerSmallerYesNo,Target5Versus7,Bigger,same,NonConsecutive,y,1
BABSYN458,1,NA,6,72,NA,MO,yes,yes,BeforeAfterYesNo,Target5Versus4,After,opposite,Consecutive,y,0
BABSYN458,1,NA,6,72,NA,MO,yes,yes,BeforeAfterYesNo,Target4Versus2,After,opposite,NonConsecutive,n,1
BABSYN458,1,NA,6,72,NA,MO,yes,yes,BeforeAfterYesNo,Target6Versus5,Before,same,Consecutive,y,1
BABSYN458,1,NA,6,72,NA,MO,yes,yes,BeforeAfterYesNo,Target5Versus7,After,same,NonConsecutive,y,1
BABSYN458,1,NA,6,72,NA,MO,yes,yes,BeforeAfterYesNo,Target4Versus3,Before,same,Consecutive,y,1
BABSYN458,1,NA,6,72,NA,MO,yes,yes,BeforeAfterYesNo,Target6Versus8,Before,opposite,NonConsecutive,y,0
BABSYN458,1,NA,6,72,NA,MO,yes,yes,BeforeAfterYesNo,Target5Versus3,Before,same,NonConsecutive,y,1
BABSYN458,1,NA,6,72,NA,MO,yes,yes,BeforeAfterYesNo,Target4Versus2,Before,same,NonConsecutive,y,1
BABSYN458,1,NA,6,72,NA,MO,yes,yes,BeforeAfterYesNo,Target4Versus6,After,same,NonConsecutive,y,1
